Problem	Probable cause	Affirmation
Chills	Inner contraction, withdrawal, turning inward. Desire to retreat. "Leave me alone."	I relax and allow warmth and peace to flow through me. I am safe to be where I am.
Numbness (spontaneous unpleasant numbness, tingling, burning)	Holding back feelings of respect and love. Dying emotions.	I share feelings and love. I respond to love in every person.
Swelling. See also: Edema, Fluid retention	Stuck in thoughts. Obsessive, painful ideas.	My thoughts flow easily and freely. I navigate ideas with ease.
Tumors (growths)	You nurture old hurts and shocks. Guilty feelings intensify.	I joyfully release the past and turn all attention to the new day. All is well.
Osteomyelitis. See also: Bone disorders	Anger and disappointment in life itself. Feeling unsupported.	I do not fight life; I trust it. There is no danger or anxiety.
Osteoporosis. See also: Bone disorders	Feeling there is nothing to hold onto in life. No support.	I can stand up for myself, and life always supports me lovingly in unexpected ways.
Edema. See also: Swelling, Fluid retention	Who or what don't you want to let go of?	I release the past with ease. It is safe for me. I have complete freedom now.
Otitis (inflammation of outer, middle, or inner ear)	Anger. Unwillingness to hear. Noise at home. Parents arguing.	Harmony surrounds me. I love to hear everything pleasant and good. Love is focused on me.
Belching	Fear. Too greedy an attitude toward life.	I digest life with ease. There is time and space for all that needs to be done.
Loss of appetite. See also: Appetite (loss)	Denial of personal life. Strong fear, self-hatred, and self-rejection.	It is safe to remain myself. I am a wonderful person. I choose life, joy, and welcome myself as a person.
Fingers	Symbolize life's small details.	I have a calm attitude toward life's small details.
Fingers: thumb	Symbol of intellect and worry.	My mind is at peace.
Fingers: index finger	Symbol of ego and fear.	All is secure for me.
Fingers: middle finger	Symbolizes anger and sexuality.	I am at peace with my sexuality.
Fingers: ring finger	Symbol of friendly and loving unions and related sorrow.	My love is serene.
Fingers: little finger	Symbolizes family and related pretense.	In the family of Life I feel at home.
Toes	Symbolize insignificant details of the future.	Everything resolves itself.
Pancreatitis	Rejection. Anger and despair: life seems to have lost its appeal.	I love and approve of myself. I create joy in my own life.
Parasites	You yield power to others; you let them take over.	I gladly take power back into my own hands, ending all interference.
Paralysis. See also: Paresis	Fear. Horror. Avoiding a situation or person. Resistance.	I am an inseparable part of life. I behave appropriately in all situations.
Bell's palsy (facial nerve paralysis). See also: Paresis, Paralysis	Tense effort to hold back anger. Unwillingness to express feelings.	It is completely safe for me to express my feelings. I forgive myself.
Paralysis (cortical paralysis)	Giving in. Resistance. "Better to die than change." Rejection of life.	Life is change, and I adapt easily to the new. I accept life—past, present, and future.
Paresis. See also: Bell's palsy, Paralysis, Parkinson's disease	Paralyzing thoughts. Dead end.	I am a free-thinking person, and all goes easily and joyfully for me.
Peritonsillar abscess. See also: Angina, Tonsillitis	Conviction of inability to speak for yourself and satisfy your own needs.	From birth I have the right to have my needs met. From now on I calmly and gently ask for all I want.
Liver	Concentration of anger and primitive emotions.	Love, peace, and joy are what I know.
Liver disorders. See also: Hepatitis, Jaundice	Constant complaining. Justifying pickiness and thereby deceiving yourself. Poor well-being.	From now on I live with an open heart. I seek love and find it everywhere.
Food poisoning	You let others take control.	I have the strength, power, and ability to assimilate all that comes to me.
Crying	Tears are the river of life; they flow from joy as well as grief and fear.	I am at peace with my emotions. I love and approve of myself.
Shoulders. See also: Joints, Rounded shoulders	Symbolize the ability to bear life's ups and downs with joy. Only our attitude turns life into a burden.	From now on my life experience will be joyful and pleasant.
Halitosis	Dirty relationships, dirty gossip, dirty thoughts.	I speak of everything with love. I exhale only good.
Pneumonia (lung inflammation). See also: Lung disorders	Despair. Fatigue with life. Emotional wounds that won't heal.	I freely inhale Divine ideas filled with the breath and mind of life. This is a new beginning.
Gout	Need to dominate. Intolerance, anger.	I am completely safe. I live in peace and harmony with myself and others.
Pancreas	Symbolizes the "sweetness" of life.	My life is sweet.
Spine	Flexible support of life.	Life supports me.
Rounded shoulders. See also: Shoulders, Spinal curvature	Carrying life's burdens. Helplessness and hopelessness.	I stand straight and free. I love and approve of myself. My life improves every day.
Poliomyelitis	Paralyzing jealousy. Desire to stop someone.	There is enough for everyone. With my loving thoughts I create all good within me and my freedom.
Diarrhea	Fear. Rejection. Running away.	I have no problems with taking in, digesting, and releasing. I have no conflict with life.
Cuts. See also: Injuries, Wounds	Punishment for straying from your own rules.	I create a life full of rewards.
Defects (birth defects)	Running from yourself. Fear. Inability to love yourself.	I affirm that I am a wonderful person. From now on I will love and enjoy myself.
Loss of balance	Scattered thoughts. Lack of concentration.	I focus on safety and improve my life. All is well.
Kidney disorders	Criticism, disappointment, failure. Shame. Reaction like a small child.	In my life always happens what Divine Providence ordains. Each time it leads only to good. Growing up is safe.
Kidney stones	Clots of undissolved anger.	I easily dissolve problems of the past.
Right side of the body	Yielding, giving in, masculine energy, men, father.	I balance my masculine energy easily and effortlessly.
Premenstrual syndrome	You allow disorder to reign. You amplify outside influence. You reject feminine processes.	From now on I control my mind and my life. I am a strong, dynamic woman. All parts of my body function beautifully. I love myself.
Seizures (convulsions)	Running from family, from yourself, from life.	The Universe is my home. I am completely safe, I feel good, I am understood.
Choking attacks. See also: Breathing disorders, Hyperventilation of the lungs	Fear. Distrust of life. Stuck in childhood.	Growing up is safe. The world is safe. Nothing threatens me.
Problems of aging	Public opinion. Outdated thoughts. Fear of being yourself. Rejection of today's reality.	I love and treat myself well. Every single moment of life is beautiful.
Leprosy	Complete inability to manage your life. Long belief in your own unfitness.	I rise above all shortcomings. Divine power guides and inspires me. Love heals all.
Prostate	Symbol of the masculine principle.	I fully accept my masculinity and rejoice in it.
Prostate disorders	Inner fears weaken masculinity. You begin to give up. Sexual tension and guilt. Belief in aging.	I love and approve of myself. I acknowledge my own strength. My spirit is eternally young.
Common cold (upper respiratory illness). See also: Respiratory illnesses	Too many events at once, confusion, disorder. Petty resentments. Beliefs like "Every winter I catch a cold three times."	I allow my mind to relax peacefully. Clarity and harmony are in my mind and all around me. All is well.
Psoriasis. See also: Skin disorders	Fear of being hurt. Loss of sense of self. Refusal to take responsibility for your own feelings.	I am open to all joys of life. I deserve and receive the best in life. I love and approve of myself.
Psychosis (mental illness)	Running from the family. Turning inward. Desperate avoidance of life.	This mind knows its worth; it is a creative expression of the Divine.
Shingles. See also: Cold sores	Angry words torment you; fear of speaking them.	I create only peaceful situations because I love myself. All is well.
Sciatica (lumbago)	Hypocrisy. Fear about money and the future.	I begin to live with great benefit to myself. My good is everywhere; I am always completely safe.
Cancer	Deep hurt. Old grievance. Great secret or grief that won't rest, that devours. Holding hate. "What's the use?"	I lovingly forgive and release all the past. From now on I fill my world with joy. I love and approve of myself.
Wounds. See also: Cuts, Injuries	Guilt and anger turned on yourself.	I forgive and love myself.
Sores (on lips or in the mouth)	Poisonous words held back by the lips.	I create only joyful events in a loving world.
Sores (on the body)	Unexpressed anger fading.	I express my emotions with joy and a positive outlook.
Multiple sclerosis	Rigid thinking, hard-heartedness, iron will, lack of flexibility. Fear.	Stopping only on pleasant and joyful thoughts, I create a bright and joyful world. I enjoy freedom and safety.
Sprains	Anger and resistance. Unwillingness to follow a certain path in life.	I trust that life guides me only toward my highest good. My soul is calm.
Rickets	Emotional hunger. Need for love and protection.	I am safe. I am nourished by the love of the Universe itself.
Vomiting	Persistent rejection of ideas. Fear of the new.	I calmly and joyfully digest life. Only good comes to me and leaves me.
Rheumatism	Feeling of vulnerability. Need for love. Chronic distress. Resentment.	My whole life is of my making. Yet I love and approve of myself and others more and more, and my life keeps getting better.
Rheumatoid arthritis	Extremely critical attitude toward the expression of strength. Feeling overloaded.	My strength is me. I love and approve of myself. Life is beautiful.
Respiratory illnesses. See also: Bronchitis, Common cold, Cough, Influenza	Fear of breathing life fully.	I am safe. I love my life.
Rigidity of neck muscles. See also: Neck disorders	Unyielding stubbornness.	It is completely safe to see from other people's viewpoints too.
Childbirth (birth)	Symbolizes the beginning of the life process.	This child begins a wonderful and joyful life. All is well.
Childbirth (complications)	Karmic. You chose to come this way. We choose our parents and children.	Every experience serves our growth. I am content where I am.
Mouth	Symbolizes reception of new ideas.	I am nourished by love.
Mouth: disorders	Prejudice. Closed mind. Inability to receive new thoughts.	I welcome new ideas and new concepts. I am ready to assimilate them.
Arm(s)	Express the ability to hold life experience.	I receive the events of my life easily, joyfully, and with love.
Hands (palms)	Hold and manage. Grasp and hold. Squeeze and release. Caress. Pinch. All ways of handling the past.	I choose to handle my past with lightness, joy, and love.
Suicide	You see life only in black and white. Unwillingness to see another way out.	I live considering all possibilities. There is always another path. All is secure for me.
Gray hair	Stress. Belief in the need for pressure and tension.	My soul is calm in all areas of my life. My strength and abilities are quite enough for me.
Spleen	Obsession. Obsessive ideas.	I love and approve of myself. I believe there is always a place for me in life.
Hay fever. See also: Allergy	Emotional overload. Fear of the calendar. Belief you are pursued. Guilt.	I am inseparable from the fullness of life. I am always completely safe.
Heart. See also: Blood	Symbolizes the center of love and safety.	My heart beats in the rhythm of love.
Heart attack (myocardial infarction). See also: Coronary thrombosis	Banishing all joy from the heart for money, career, or something else.	I return joy to the very center of my heart. I express my love to all.
Heart disorders	Old emotional problems. Lack of joy. Hard-heartedness. Belief in the need for tension and stress.	Joy. Joy. Joy. I gladly let the flow of joy pass through my mind, body, and life.
Sinusitis (inflammation of the paranasal mucosa)	Irritation caused by someone close.	I declare that harmony and peace always fill me and all space around me.
Bruises (contusions)	Little jabs from life. Self-punishment.	I love and enjoy myself. I treat myself kindly and gently. All is well.
Syphilis. See also: Venereal diseases	Squandering your power and effectiveness.	I choose to be only myself. I approve of myself as I am.
Skeleton. See also: Bone(s)	Destruction of structure. Bones symbolize the building of your life.	I have a strong body and excellent health. My build is fine.
Scleroderma	Walling yourself off from life. Not daring to be in the thick of it and care for yourself.	Now I am fully relaxed, knowing I am completely safe. I trust life and I trust myself.
Weakness	Mind's need for rest.	I give my mind a cheerful vacation.
Senility. See also: Alzheimer's disease, Old age	Unwillingness to accept the world as it is. Hopelessness and helplessness. Anger.	I am in my right place, and I am always completely safe.
Colon mucosa. See also: Colitis, Intestine, Spastic colitis	Layers of outdated confused thoughts clog elimination channels. You are stuck in the sticky mud of the past.	I release the past. I have clear thinking. I live peacefully and joyfully in the present.
Death	Symbolizes exit from the play of life.	I joyfully move to a new stage. All is well.
Spasms	Overwrought thoughts born of fear.	I release, relax, and let go. All is well in my life.
Abdominal spasms	Fear. Stopping the process.	I trust life's processes. I am safe.
Spastic colitis. See also: Colitis, Intestine, Colon mucosa	Fear of letting something go. Unreliability.	I need not fear life; life will always provide what I need. All is well.
AIDS	Feelings of defenselessness and hopelessness. Nobody cares. Strong belief in one's worthlessness. Self-dislike. Sexual guilt.	I am part of the Universe. I am an important part; Life itself loves me. I have strength and ability. I love and value everything in me.
Back	Symbol of life's support.	I know life always supports me.
Back disorders. See also: Vertebral displacement (special section)	Fear of life's burdens. Feeling unsupported.	I stand supported by life. I release fear and trust that I am carried with love and strength.
Lower back disorders	Fear about money. Lack of financial support.	I trust the life process. I always receive what I need. All is well with me.
Middle back disorders	Guilt. Attention fixed on "all that" in the past. "Leave me alone."	I release the past. With love in my heart I can move forward freely.
Upper back disorders	Lack of moral support. Feeling unloved. Holding back love.	I love and approve of myself. Life loves and supports me.
Old age. See also: Alzheimer's disease	Return to so-called "childhood safety." Demanding care and attention. A form of control over others. Avoidance (escapism).	Heavenly protection. Safety. Peace. Universal Mind works at every level of life.
Tetanus. See also: Trismus	Need to release anger and destructive thoughts.	I allow the flow of love from my heart to wash every corner of my body and all my emotions.
Ringworm (dermatophytosis)	You let others get on your nerves. Poor well-being or sense of lacking virtue.	I love and approve of myself. No one and nothing has power over me. I am free.
Feet	Symbol of our understanding of ourselves, life, and other people.	I have clear understanding and readiness to change as new times come. Nothing threatens me.
Feet: disorders	Fear of the future and fear you won't take a step forward in life.	I step forward through life easily and joyfully.
Cramps	Tension. Fear. Trying to grab hold.	I relax and allow peace to reign in my mind.
Joints. See also: Arthritis, Elbow, Knee, Shoulders	Symbolize changes of direction in life and the ease of those movements.	I follow change easily. Divine guides my life, and I always choose the best direction.
Dry eyes	Evil eye. Unwillingness to look with love. Rather die than forgive. Sometimes schadenfreude.	I forgive willingly. I fill my vision with life and look with understanding and compassion.
Rash	Feeling unprotected, open to attack.	I have strength and reliable protection. All is well.
Rash. See also: Hives	Irritation about delays. Childish way to get attention.	I love and approve of myself. I make peace with the life process.
Tic, convulsions	Fear. Feeling others are watching you.	I am accepted by all of life. All is well. I am safe.
Tonsillitis. See also: Angina	Fear. Suppressed emotions. Stifled creativity.	Now all good within me flows freely. I am a channel for Divine thoughts. Peace reigns in my mind.
Nausea	Fear. Rejection of an idea or experience.	I am safe. I hold to the life process that brings me only good.
Injuries. See also: Cuts, Wounds	Anger turned on yourself. Guilt.	I turn my anger to good. I love and value myself highly.
Anxiety	Disbelief in the flow of life and its natural process.	I approve of and love myself and trust the process of life. Nothing threatens me.
Trismus (lockjaw). See also: Tetanus	Anger. Desire to command. Refusal to express feelings.	I trust the life process. It is easy for me to ask for what I want. Life is on my side.
Tuberculosis	Waste through selfishness. Possessiveness. Cruel thoughts. Revenge.	Loving and approving myself, I create a calm and joyful world to live in.
Acne. See also: Whiteheads	Weak flashes of anger.	I calm my thoughts; peace comes to my mind.
Acne (pimples)	Disagreement with yourself. Lack of self-love.	I am a Divine expression of life. I love and accept myself in my present state.
Nodular thickenings	Resentment, despair, and wounded pride over career.	I release my inner slowness and don't stop myself from succeeding.
Travel sickness. See also: Motion sickness in car or train, Motion sickness	Fear. Fear you've already lost control.	I always control my thoughts. I am safe. I love and approve of myself.
Motion sickness (in car or train)	Fear. Dependence. Feeling trapped.	I cross space and time with ease. Only love surrounds me.
Bites	Fear. Openness to all kinds of neglect.	I forgive and love myself more each day.
Animal bites	Anger turned inward. Need for punishment.	I am free.
Insect bites	Guilt over small things.	I feel no irritation.
Fatigue	Resistance, boredom. Doing work you dislike.	I approach life with enthusiasm; energy and enthusiasm fill me.
Ears	Expression of the ability to hear.	I hear and love.
Fibrocystic degeneration	Complete conviction that life will bring nothing good. "Poor me!"	Life loves me, and I love life. Now I breathe life fully and freely.
Fibroma and cyst. See also: Women's illnesses	Remembering an insult from a partner. Blow to feminine pride.	I release what in me caused this event. In life I create only good.
Phlebitis (vein inflammation)	Anger and disappointment. Blaming others for little or no joy in your own life.	Joy flows freely within me, and I have no conflict with life.
Frigidity	Fear. Rejection of pleasure. Belief that sex is bad. Unfeeling partners. Fear of father.	Enjoying my own body is absolutely safe. I delight in being a woman.
Boil. See also: Carbuncle	Anger. Boiling. Confusion.	I express joy and love. My soul is calm.
Cholesterol (elevated)	Clogging channels of incoming joy. Fear of accepting joy.	I love life. My channels of joy are wide open. Receiving is absolutely safe.
Snoring	Stubborn unwillingness to release outdated stereotypes.	I release from my mind all that is unlike love and joy. I move from the past to the new, fresh, and living.
Chronic illness	Unwillingness to change. Fear of the future. Feeling of danger.	I want to change and grow. I create a new and safe future.
Scratches (abrasions)	Feeling life torments you, that life is a robber, that you are robbed.	I bring gratitude to life for its generosity toward me. Blessing is upon me.
Cellulitis (inflammation of subcutaneous tissue)	Accumulated anger and self-punishment.	I forgive others. I forgive myself. I have freedom to love and enjoy life.
Circulation	Symbolizes the ability to feel and express emotions positively.	My freedom lets love and joy circulate in every corner of my mind. I love life.
Cystitis (bladder disease)	Anxious state. Clinging to old ideas. Fear of giving yourself freedom. Anger.	I gladly release the past and welcome all new in my life. I am completely safe.
Jaw (temporomandibular syndrome)	Anger. Resentment. Desire for revenge.	I very much want to change in myself what caused this illness. I love and value myself. Nothing threatens me.
Scabies	Infected thinking. You let others get on your nerves.	I am a living, loving, and joyful expression of life. I belong only to myself.
Neck (cervical spine)	Symbolizes flexibility. Ability to see what happens behind your back.	I have a good relationship with life.
Neck disorders. See also: Spinal curvature, Rigidity of neck muscles	Unwillingness to see other sides of an issue. Stubbornness. Lack of flexibility.	I consider all sides of a question easily and flexibly. There are many paths to approach or solve a matter. All is well.
Ringing in the ears	Unwillingness to hear the inner voice. Stubbornness.	I trust my higher self and listen lovingly to my inner voice. I reject all that is unlike love.
Thyroid gland	The main gland of the immune system. Feeling life attacked you. They are out to get me.	My loving thoughts strengthen my immune system. I have reliable protection inside and out. I listen to myself with love.
Thyroid disorders. See also: Goiter, Hyperthyroidism, Hypothyroidism	Humiliation. "I'll never get to do what I want. When will it be my turn?"	I move beyond all limitations and express myself freely and creatively.
Epilepsy	Persecution mania. Refusal of life. Sense of intense struggle. Violence toward oneself.	From now on I consider life eternal and joyful.
Eczema	Implacable antagonism. Mental breakdowns.	Peace and harmony, love and joy surround me and constantly dwell within me. Nothing and no one threatens me.
Emphysema	You fear breathing life fully. Unworthy of life.	From birth I have the right to freedom and fullness of life. I love life. I love myself.
Endometriosis	Feeling unprotected, distress and disappointment. Replacing self-love with sugar. Reproaches.	I am strong and desirable. It is wonderful to be a woman. I love myself; I am pleased with my achievements.
Enuresis (bedwetting)	Fear of a parent, usually father.	This child is looked upon with love, pity, and understanding. All is well.
Athlete's foot	Despair from not being recognized. Inability to move forward lightly.	I love and approve of myself. I do not block my forward movement. This movement is safe.
Buttocks	Symbolize strength. Flabby buttocks—loss of strength.	I use my strength wisely. I am a strong person. No danger. All is well.
Ulcer. See also: Heartburn, Stomach or duodenal ulcer, Stomach ailments	Fear. Firm conviction you are defective. What is eating you?	I love and approve of myself. My mind is at peace. All is well.
Peptic ulcer (stomach or duodenal). See also: Heartburn, Stomach ailments, Ulcer	Fear. Conviction of defectiveness. Desire to please.	I love and approve of myself. My mind is at peace. I am a wonderful person.
Tongue	Symbolizes the ability to taste life's pleasure with joy.	I rejoice in the great generosity of my life.
Testicles	Masculine principle: masculinity.	It is safe to be a man.
Ovaries	Symbolize creative centers.	My creative flow is balanced.
Stye. See also: Eye disorders	You look at life with evil eyes. Anger at someone.	Now I look at everything with love and joy.
