Проблема	Вероятная причина	Аффирмация
Кровь: пониженное давление	Дефицит любви в детстве. Пораженческое настроение: «Да какая разница?! Всё равно ничего не получится».	Отныне я живу в вечно радостном сейчас. Моя жизнь полна радости.
Кровь: свёртывание	Вы перекрываете поток радости.	Я пробуждаю в себе новую жизнь. Поток продолжается.
Кровотечение	Уходит радость. Гнев. Но куда?	Я — сама радость жизни, я получаю и отдаю в прекрасном ритме.
Кровотечение дёсен	Отсутствие радости по поводу решений, принятых в жизни.	Я верю, что в моей жизни происходят только правильные вещи. Моя душа спокойна.
Ларингит	Злость мешает говорить. Страх мешает высказаться. Надо мной довлеют.	Ничто не мешает мне попросить то, чего я хочу. У меня полная свобода самовыражения. В моей душе — мир.
Левая сторона тела	Символизирует восприимчивость, поглощение, женскую энергию, женщин, мать.	У меня прекрасный баланс женской энергии.
Лёгкие	Символизируют способность вдыхать жизнь	Я вдыхаю жизнь равномерно и свободно.
Лёгочные заболевания. См. также: «Пневмония»	Депрессия. Печаль. Боязнь воспринимать жизнь. Считаете, что вы недостойны жить полной жизнью.	Я могу воспринимать всю полноту жизни. Я воспринимаю жизнь с любовью и до конца.
Лейкемия. См. также: «Кровь: заболевания»	Вдохновение жестоко подавляется. «Кому это надо?»	Я возвышаюсь над прошлой ограниченностью и принимаю свободу сегодняшнего дня. Совершенно безопасно быть собой.
Ленточный червь (солитёр)	Сильная убеждённость, что вы жертва и что вы греховны. Вы беспомощны перед тем, что вы принимаете за отношение к вам других людей.	Другие лишь отражают те добрые чувства, которые я испытываю к себе. Я люблю и ценю всё, что есть во мне.
Лимфа: заболевания	Предупреждение о том, что следует переориентироваться на самое главное в жизни: любовь и радость.	Теперь для меня самое главное — это радость самой жизни. Я плыву по течению жизни. В душе моей — покой.
Лихорадка	Гнев. Кипение.	Я — спокойное выражение мира и любви.
Лицо	Символизирует то, что мы демонстрируем миру.	Мне безопасно быть собой. Я выражаю то, что я есть.
Лобковая кость	Символизирует защиту половых органов.	Моя сексуальность — в полной безопасности.
Локоть	Символизирует смену направлений и восприятие нового опыта.	Я с лёгкостью принимаю новый опыт, новые направления и перемены.
Малярия	Несбалансированные отношения с природой и жизнью.	Я — единое целое с природой и жизнью в её полном объёме. Я — в безопасности.
Мастоидит	Гнев и разочарование. Нежелание видеть то, что происходит. Обычно бывает у детей. Пониманию мешает страх.	Божественный мир и гармония окружают меня, живут во мне. Я — оазис мира, любви и радости. В моём мире всё идет хорошо.
Матка	Символизирует храм творчества.	В своём теле я чувствую себя, как дома.
Менингит спинномозговой	Воспалённые мысли и злость на жизнь.	Я предаю забвению все обвинения и принимаю покой и радость жизни.
Менопауза: проблемы	Боязнь, что к вам теряют интерес. Боязнь старения. Неприязнь к себе. Плохое самочувствие.	Уравновешенность и душеный покой не покидают меня при всех сменах цикла, и я благословляю моё тело любовью.
Менструация. См. также: «Аменорея», «Дисменорея», «Женские проблемы»	Отвергание своей женственности. Чувство вины, страх. Убеждённость, что всё, связанное с гениталиями, греховно или нечисто.	Я признаю себя полноправной женщиной и считаю все процессы в моём теле нормальными и естественными. Я люблю себя и одобряю.
Мигрень. См. также: «Головные боли»	Ненависть к принуждению. Сопротивление ходу жизни. Сексуальные страхи.	Я расслабляюсь и следую за ходом жизни, и пусть жизнь обеспечивает меня всем необходимым в лёгкой и удобной форме.
Миопия. См. также: «Глазные болезни»	Страх перед будущим. Недоверие к тому, что ждёт вас впереди.	Я доверяю процессу жизни, я в безопасности.
Мозг	Символизирует компьютер, пульт управления.	Я — оператор, с любовью управляющий своим мозгом.
Мозг: опухоль	Неверно рассчитанные убеждения. Упрямство. Отказ пересматривать устаревшие стереотипы.	Мне так легко перепрограммировать компьютер моего сознания. Жизнь в целом — это обновление, и моё сознание — это постоянное обновление.
Мозоли	Затвердевшие участки мышления — упорное стремление сохранить в сознании боль прошлого	Новые пути и мысли совершенно безопасны. Я освобождаюсь от груза прошлого и свободно иду вперёд. Я — в безопасности. Я наслаждаюсь свободой.
Молочница . См. также: «Кандидос», «Рот», «Дрожжевая инфекция»	Злость на принятие ошибочных решений.	Свои решения я воспринимаю с любовью, поскольку знаю, что всегда могу их изменить. Я — в полной безопасности.
Мононуклеоз (болезнь Пфайфера, лимфоидно-клеточная ангина)	Гнев, порождённый дефицитом любви и недооценкой себя. Безразличное отношение к себе.	Я люблю себя, ценю и забочусь о себе. Всё при мне.
Морская болезнь. См. также: «Укачивание при движении»	Страх. Страх смерти. Отсутствие контроля.	Я — в полной безопасности во Вселенной. Моя душа спокойна везде. Я верю в жизнь.
Мочеиспускательный канал: воспаление (уретрит)	Озлобленность. Вам докучают. Обвинение.	В моей жизни я творю только радостные дела.
Мочевые пути: инфекция	Раздражение. Злость. Обычно на противоположный пол или партнёра по сексу. Вы возлагаете вину на других.	Я отвергаю стереотип мышления, который вызвал этот недуг. Я хочу измениться. Я люблю себя и одобряю.
Мышцы	Сопротивление новому опыту. Мышцы символизируют способность к движению по жизни.	Я наслаждаюсь жизнью, как весёлым танцем.
Мышечная дистрофия	Взрослеть не имеет смысла.	Я преодолеваю ограниченность моих родителей. Я свободно использую всё самое лучшее, что есть во мне.
Надпочечники: заболевания. См. также: «Болезнь Аддисона», «Болезнь Кушинга»	Пораженческое настроение. Наплевательское отношение к себе. Чувство тревоги.	Я люблю себя и одобряю свои действия. Заботиться о себе — совершенно безопасно.
Нарколепсия	Не в состоянии с чем-то справиться. Жуткий страх. Желание уйти подальше от всех и всего. Нежелание находиться здесь.	Я полагаюсь на Божественную мудрость и провидение, и это защитит меня в любое время. Я — в безопасности.
Насморк	Просьба о помощи. Внутренний плач.	Я люблю и утешаю себя так, как мне приятн
Невралгия	Наказание за греховность. Муки общения.	Я прощаю себя. Я люблю и одобряю себя. Общение приносит радость.
Недержание	Переполнение эмоциями. Многолетнее сдерживание чувств.	Я стремлюсь чувствовать. Выражение эмоций для меня безопасно. Я люблю себя.
«Неизлечимые болезни»	В данный момент это неизлечимо внешними средствами. Нужно войти вовнутрь, чтобы добиться излечения. Появившись из ниоткуда, оно уйдёт в никуда.	Чудеса происходят каждый день. Я вхожу вовнутрь, чтобы разрушить стереотип, ставший причиной заболевания, и принимаю Священное исцеление. Таковым оно является на самом деле.
Нервы	Символизируют связь. Орган восприятия.	Я общаюсь легко и радостно.
Нервный срыв	Эгоцентричность. «Засорение» каналов общения	Я открываю душу и в общении излучаю любовь. Я — в полной безопасности. У меня хорошее самочувствие.
Нервозность	Страх, беспокойство, борьба, суета. Недоверие к жизненному процессу.	Я путешествую по бесконечным просторам вечности, и у меня масса времени. Я общаюсь с открытым сердцем, всё идёт хорошо.
Несварение	Животный страх, ужас, беспокойное состояние. Ворчание и жалобы.	Я мирно и радостно перевариваю и усваиваю всё новое в моей жизни.
Несчастные случаи	Неспособность постоять за себя. Бунт против власти. Вера в насилие.	Я отбрасываю мысли-стереотипы, вызвавшие это. В моей душе мир и покой. Я — стоящий человек.
Нефрит. См. также: «Брайтова болезнь»	Слишком сильная реакция на разочарования и неудачи.	Я совершаю только правильные поступки. Я предаю забвению старое и приветствую новое. Всё идет хорошо.
Новообразования	Удержание в душе старых обид. Усиливающееся чувство неприязни.	Я прощаю с лёгкостью. Я люблю себя и буду награждать себя хвалебными мыслями.
Ноги	Несут нас вперёд по жизни.	Жизнь — это для меня.
Ноги: заболевания в нижней части	Страх перед будущим. Нежелание двигаться.	Я радостно и уверенно иду вперёд, зная, что моё будущее — прекрасно.
Ноготь (ногти)	Символ защиты.	Моё общение легко и свободно.
Ногти (грызть)	Безысходность. Самоедство. Ненависть к одному из родителей.	Взрослеть — безопасно. Теперь я легко и радостно управляю своей жизнью.
Нос	Символизирует признание себя	Я признаю, что во мне есть интуитивная способность.
Нос заложенный	Непризнание собственной ценности.	Я люблю и ценю себя.
Носоглоточные выделения	Внутренний плач. Детские слёзы. Вы — жертва.	Я сознаю, что созидательная сила в моём мире — это я, и принимаю это. Отныне я наслаждаюсь собственной жизнью.
Нос: кровотечение	Потребность в признании. Ощущение, сто тебя не признают и не замечают. Сильное желание любви.	Я люблю и одобряю себя. Я знаю, чего стою. Я — замечательная личность.
Обвислые черты лица	Отвисание черт лица — это результат «обвисания» мыслей в голове. Обида на жизнь.	Я выражаю радость жизни и до конца наслаждаюсь каждым мгновением каждого дня. И снова молодею.
Облысение	Страх. Напряжение. Стремление всё контролировать. Недоверие к процессу жизни.	Я — в безопасности. Я люблю себя и одобряю. Я доверяю жизни.
Обморок (вазовагальный криз, синдром Говерса)	Страх. Не могу справиться. Провал памяти.	У меня достаточно сил и знаний, чтобы контролировать всё в моей жизни.
Ожирение. См. также: «Излишек веса»	Сверхчувствительность. Нередко символизирует страх и потребность в защите. Страх может служить прикрытием для скрытого гнева и нежелания прощать.	Меня защищает священная любовь. Я всегда в безопасности. Я хочу повзрослеть и принять на себя ответственность за свою жизнь. Я прощаю всех и создаю такую жизнь, какая мне нравится. Я — в полной безопасности.
Ожирение: бёдра (верхняя часть)	Комья упрямства и злости на родителей.	Я посылаю прощение прошлому. Мне не опасно преодолеть ограниченность родителей.
Ожирение: бёдра (нижняя часть)	Запасы детского гнева. Нередко злость на отца.	Я вижу отца ребёнком, выросшим без любви и ласки, и я легко прощаю. Мы оба свободны.
Ожирение: живот	Гнев в ответ на отказ в духовной пище и эмоциональной заботе	Я развиваюсь духовно. У меня достаточно духовной пищи. Я чувствую удовлетворение и наслаждаюсь свободой.
Ожирение: руки	Гнев по причине отвергнутой любви.	Я могу получить столько любви, сколько хочу.
Ожоги	Гнев. Внутреннее кипение. Распалённость	В себе и моём окружении я создаю только мир и гармонию. Я заслуживаю хорошего самочувствия.
Озноб	Внутренняя сжатость, отступление и уход в себя. Стремление отступить. «Оставьте меня в покое»	Внутренняя сжатость, отступление и уход в себя. Стремление отступить. «Оставьте меня в покое»
Онемение (спонтанно возникающее неприятное ощущение онемения, покалывания, жжения)	Сдерживание чувств уважения и любви. Отмирание эмоций.	Я делюсь чувствами и любовью. Я реагирую на проявление любви в каждом человеке.
Опухание. См. также: «Отёки», «Задержка жидкости»	Вы увязли в мыслях. Навязчивые, болезненные идеи.	Мои мысли текут легко и свободно. Я с лёгкостью ориентируюсь в различных идеях.
Опухоли	Вы лелеете в себе старые обиды и потрясения. Усиливаются угрызения совест	Я с радостью прощаюсь с прошлым и всё внимание обращаю на новый день. Всё идет хорошо.
Остиомиелит. См. также: «Костные заболевания»	Гнев и разочарование в самой жизни. Такое чувство, что тебя никто не поддерживает.	Я не конфликтую с жизнью и доверяюсь ей. Нет ни опасности, ни тревог.
Остеопороз. См. также: «Костные заболевания»	Ощущение, что в жизни совсем не за что ухватиться. Нет опоры.	Я могу постоять за себя, а жизнь всегда любовно поддержит меня самым неожиданным образом.
Отёки. См. также: «Опухание», «Задержка жидкости»	С кем или с чем вы не хотите расстаться?	Я легко расстаюсь с прошлым. И это безопасно для меня. Теперь у меня полная свобода.
Отит (воспаление наружного слухового прохода, среднего уха, внутреннего уха)	Гнев. Нежелание слушать. В доме шум. Родители ссорятся	Меня окружает гармония. Я люблю слышать всё приятное и хорошее. На мне сосредоточена любовь.
Отрыжка	Страх. Слишком жадное отношение к жизни.	Для всего, что следует делать.
Отсутствие аппетита. См. также: «Аппетит (потеря)»	Отрицание личной жизни. Сильное чувство страха, ненависть к себе и отрицание себя.	Безопасно оставаться собой. Я — замечательный человек. Я выбираю жизнь, радость и приветствую себя, как личность.
Пальцы	Символизируют мелочи жизни.	У меня спокойное отношение к мелочам жизни.
Пальцы: большой	Символ интеллекта и беспокойства.	В моей душе — мир.
Пальцы: указательный	Символ «эго» и страха.	У меня — всё надёжно.
Пальцы: средний	Символизирует гнев и сексуальность.	Меня устраивает моя сексуальность.
Пальцы: безымянный	Символ дружественных и любовных союзов и связанной с ними печали.	Моя любовь — безмятежна.
Пальцы: мизинец	Символизирует семью и связанное с нею притворство.	В семье Жизни я чувствую себя, как дома.
Пальцы стопы	Символизирует незначительные детали будущего.	Всё решается само собой.
Панкреатит	Неприятие. Гнев и безысходность: кажется, что жизнь утратила свою притягательность.	Я люблю и одобряю себя. Я сама (сам) создаю радость в своей жизни.
Паразиты	Уступаете власть другим, позволяете им брать верх.	Я вновь с удовольствием беру власть в свои руки, положив, тем самым, конец всякому вмешательству.
Паралич. См. также: «Парез»	Страх. Ужас. Избегание ситуации или человека. Сопротивление.	Я — неотделимая часть жизни. Я веду себя адекватно во всех ситуациях.
Паралич Белла (поражение лицевого нерва). См. также: «Парез», «Паралич»	Напряжённое усилие, чтобы сдержать гнев. Нежелание выражать свои чувства.	Мне совершенно безопасно выражать свои чувства. Я прощаю себя.
Паралич (корковый паралич)	Уступка. Сопротивление. «Лучше умереть, чем измениться». Неприятие жизни.	Жизнь — это перемены, и я легко приспосабливаюсь к новому. Я принимаю жизнь — прошлую, настоящую и будущую.
Парез. См. также: «Паралич Белла», «Паралич», «Болезнь Паркинсона»	Парализующие мысли. Тупик.	Я — свободно мыслящая личность, и всё у меня идёт легко и радостно.
Перитонзиллярный абсцесс. См. также: «Ангина», «Тонзилит»	Убеждённость в своей неспособности говорить за себя и самостоятельно добиваться удовлетворения своих нужд.	Я от рождения имею право на удовлетворение собственных потребностей. Отныне я спокойно и ласково добиваюсь всего, чего хочу.
Печень	Сосредоточие гнева и примитивных эмоций.	Любовь, мир и радость — вот, что я знаю.
Печень: заболевания. См. также: «Гепатит», «Желтуха»	Постоянные жалобы. Оправдывание собственной придирчивости и, тем самым, обманывание себя. Плохое самочувствие.	Отныне я живу с открытым сердцем. Ищу любовь и повсюду нахожу её.
Пищевое отравление	Позволяете другим брать контроль в свои руки.	У меня есть силы, власть и умение усваивать всё, что попадает ко мне.
Плач	Слёзы — это река жизни, они текут от радости, а также, от горя и страха.	Я в ладу со своими эмоциями. Я люблю себя и одобряю.
Плечи. См. также: «Суставы», «Покатые плечи»	Символизируют способность с радостью переносить перипетии жизни. Только наше отношение к жизни, превращает её в обузу.	Отныне вест мой жизненный опыт будет радостным и приятным.
Плохой запах изо рта	Грязные отношения, грязные сплетни, грязные мысли.	Я говорю обо всём с любовью. Я выдыхаю лишь хорошее.
Пневмония (воспаление лёгких). См. также: «Лёгочные заболевания»	Отчаяние. Усталость от жизни. Эмоциональные раны, которые не дают залечиться.	Я свободно вдыхаю Божественные идеи, наполненные дыханием и разумом жизни. Это — новое начало.
Подагра	Потребность доминировать. Нетерпимость, гнев.	Я — в полной безопасности. Я живу в мире и согласии с собой и с другими.
Поджелудочная железа	Символизирует «сладость» жизни.	Соя жизнь — «сладка».
Позвоночник	Гибкая опора жизни.	Меня поддерживает Жизнь.
Покатые плечи. См. также: «Плечи», «Искривление позвоночника»	Перенесение жизненных тягот. Беспомощность и безнадёжность.	У меня прямая и свободная осанка. Я люблю и одобряю себя. Моя жизнь улучшается с каждым днём.
Полиомиелит	Парализующая ревность. Желание кого-то остановить.	Хватит всем. Моими добрыми мыслями я творю всё доброе во мне и мою свободу.
Понос	Страх. Отказ. Убегание.	У меня нет совершенно никаких проблем с поглощением, усвоением и выбросом. У меня нет никаких разногласий с жизнью.
Порезы. См. также: «Травмы», «Раны»	Наказание за отступление от собственных правил.	Я создаю жизнь, полную наград.
Пороки	Бегство от себя. Страх. Неумение любить себя.	Я убеждаюсь, что я — замечательная личность. Отныне я буду любить себя и наслаждаться собой.
Потеря устойчивости	Рассеянные мысли. Отсутствие концентрации.	Я концентрирую внимание на безопасности и совершенствую свою жизнь. Всё идёт хорошо.
Почки: болезни	Критика, разочарование, неудачи. Позор. Реакция, как у маленького ребёнка.	В моей жизни всегда происходит то, что предписывает Божественный промысел. И каждый раз это приводит только к хорошему результату. Взрослеть — безопасно.
Почечные камни	Сгустки нерастворённого гнева.	Я легко развеиваю проблемы прошлого.
Правая сторона тела	Уступка, отказ, мужская энергия, мужчины, отец.	Легко, без усилий уравновешиваю я свою мужскую энергию.
Предменструальный синдром	Позволяете царить беспорядку. Усиливаете внешнее воздействие. Отвергаете женские процессы.	Отныне я контролирую моё сознание и мою жизнь. Я — сильная, динамичная женщина. Все части моего тела функционируют великолепно. Я люблю себя.
Приступы (припадки)	Убегание от семьи, от себя, от жизни.	Вселенная — мой родной дом. Я в полной безопасности, мне хорошо, меня понимают.
Приступы удушья. См. также: «Дыхание: болезни», «Гипервентиляция лёгких»	Страх. Недоверие к жизни. Вы завязли в детстве.	Взрослеть — безопасно. Мир безопасен. Ничто мне не угрожает.
Проблемы старения	Общественное мнение. Устаревшие мысли. Боязнь быть собой. Неприятие сегодняшней действительности.	Я люблю себя и хорошо отношусь к себе. Прекрасен каждый отдельный момент жизни.
Проказа	Полная неспособность управлять своей жизнью. Давняя вера в собственную непригодность.	Я возвышаюсь над всеми недостатками. Меня направляет и вдохновляет Божественная сила. Любовь исцеляет всё.
Простата	Символ мужского принципа.	Я полностью принимаю мою мужественность и радуюсь ей.
Простата: заболевания	Внутренние страхи ослабляют мужественность. Начинаете сдаваться. Сексуальное напряжение и чувство вины. Вера в старение.	Я люблю и одобряю себя. Я признаю собственную силу. Мой дух вечно молод.
Простуда (заболевание верхних дыхательных путей). См. также: «Респираторные заболевания»	Слишком много событий одновременно, смятение, беспорядок. Мелкие обиды. Убеждения типа «Каждую зиму я трижды переношу простуду».	Я позволяю сознанию мирно расслабиться. Ясность и гармония присутствуют в моей душе и вокруг меня. Всё идёт хорошо.
Псориаз. См. также: «Кожа: болезни»	Боязнь, что тебя обидят. Потеря самоощущения. Отказ принимать на себя ответственность за собственные чувства.	Я открыт всем радостям жизни. Я заслуживаю и воспринимаю всё самое лучшее в жизни. Я люблю и одобряю себя.
Психоз (психическое заболевание)	Бегство из семьи. Уход в себя. Отчаянное избегание жизни.	Этот ум знает, чего он стоит, он является творческим началом Божественного самовыражения.
Пузырьковый лишай. См. также: «Герпес простой»	Терзают гневные слова и боязнь их произнести.	Я создаю только мирные ситуации, потому что я люблю себя. Всё идёт хорошо.
Радикулит (ишиас)	Лицемерие. Страх за деньги и за будущее.	Я начинаю жить с большой пользой для себя. Моё благо повсюду, я же всегда в полной безопасности.
Рак	Глубокая рана. Старинная обида. Великая тайна или горе не дают покоя, пожирают. Сохранение чувства ненависти. «Кому это нужно?»	Я с любовью прощаю и предаю забвению всё прошлое. Отныне я заполняю радостью мой собственный мир. Я люблю и одобряю себя.
Раны. См. также: «Порезы», «Травмы»	Чувство вины и гнев, направленный на себя.	Я прощаю себя и люблю.
Ранки (на губах или в полости рта)	Ядовитые слова, сдерживаемые губами.	Я создаю только радостные события в любящем мире.
Ранки (на теле)	Затухает невыраженный гнев.	Я с радостью и позитивным настроем выражаю мои эмоции.
Рассеянный склероз	Жёсткость мышления, жёсткосердие, железная воля, отсутствие гибкости. Страх.	Останавливаясь только на приятных и радостных мыслях, я создаю светлый и радостный мир. Я наслаждаюсь свободой и безопасностью.
Растяжения	Гнев и сопротивление. Нежелание идти по какому-то определённому пути в жизни.	Я верю, что жизнь направляет меня только к моему высшему благу. Моя душа спокойна.
Рахит	Эмоциональный голод. Потребность в любви и защите.	Я в безопасности. Я питаюсь любовью самой Вселенной.
Рвота	Настойчивое отрицание идей. Боязнь нового.	Я спокойно и радостно усваиваю жизнь. Только всё хорошее приходит ко мне и уходит от меня.
Ревматизм	Чувство собственной уязвимости. Потребность в любви. Хронические огорчения. Обида.	Вся моя жизнь — дело моих рук. Но я всё больше и больше люблю и одобряю себя и других, и моя жизнь становится всё лучше.
Ревматический артрит	Крайне критическое отношение к проявлению силы. Чувство, что на вас взваливают слишком много.	Моя сила — это я. Я люблю и одобряю себя. Жизнь — прекрасна.
Респираторные заболевания. См. также: «Бронхит», «Простуда», «Кашель», «Грипп»	Боязнь вдыхать жизнь полной грудью.	Я в безопасности. Я люблю мою жизнь.
Ригидность затылочных мышц. См. также: «Шея: болезни»	Непреклонное упрямство.	Совершенно безопасно смотреть также и с точек зрения других людей.
Роды (рождение)	Символизирует начало жизненного процесса.	У этого ребёнка начинается удивительная и радостная жизнь. Всё идёт хорошо.
Роды (отклонение)	Кармическое. Вы сами решили явиться этим путём. Мы выбираем себе родителей и детей.	Всякий опыт полезен процессу нашего роста. Я доволен своим местонахождением.
Рот	Символизирует восприятие новых идей.	Я питаюсь любовью.
Рот: заболевания	Предвзятость. Закрытый ум. Неспособность к восприятию новых мыслей.	Я приветствую новые идеи и новые концепции. Я готов (а) их усвоить.
Рука (руки)	Выражает способность сохранить жизненный опыт.	Легко, радостно и с любовью воспринимаю я события моей жизни.
Руки (кисти)	Держать и управлять. Захватывать и держать. Сжимать и отпускать. Ласкать. Щипать. Всевозможные виды обращения с прошлым.	Я решаю обращаться с моим прошлым с лёгкостью, радостью и любовью.
Самоубийство	Вы видите жизнь только в чёрно-белом варианте. Нежелание увидеть иной выход из положения.	Я живу с учётом абсолютно всех возможностей. Всегда есть другой путь. У меня всё надёжно.
Седые волосы	Стресс. Вера в необходимость давления и напряжения.	Моя душа спокойна относительно всех сфер моей жизни. Мне вполне хватает моих сил и способностей.
Селезёнка	Одержимость. Навязчивые идеи.	Я люблю и одобряю себя. Я верю, что для меня всегда найдётся место в жизни.
Сенная лихорадка. См. также: «Аллергия»	Эмоциональный перебор. Боязнь календаря. Убеждение, что вас преследуют. Чувство вины.	Я неотделим(а) от всей полноты жизни. Я всегда в полной безопасности.
Сердце. См. также: «Кровь»	Символизирует центр любви и безопасности.	Моё сердце стучит в ритме любви.
Сердце: приступ (инфаркт миокарда). См. также: «Коронарный тромбоз»	Изгнание из сердца всякой радости ради денег или карьеры, или ещё чего-нибудь.	Я возвращаю радость в самый центр моего сердца. Я выражаю всем мою любовь.
Сердце: болезни	Давнишние эмоциональные проблемы. Дефицит радости. Чёрствость. Вера в необходимость напряжения, стресса.	Радость. Радость. Радость. Я с удовольствием пропускаю поток радости через своё сознание, тело, жизнь.
Синусит (воспаление слизистой оболочки околоносовых пазух)	Раздражение, вызванное одним из близких.	Я заявляю, что гармония и мир всегда наполняют меня и всё пространство вокруг.
Синяки (кровоподтёки)	Мелкие уколы жизни. Самонаказание.	Я люблю и наслаждаюсь собой. Я отношусь к себе по-доброму, мягко. Всё идёт хорошо.
Сифилис. См. также: «Венерические болезни»	Растрачивание своей силы и эффективности.	Я решаю быть только самим собой. Я одобряю себя таким, какой я есть.
Скелет. См. также: «Кости»	Разрушение структуры. Кости символизируют здание вашей жизни.	У меня крепкое тело и отменное здоровье. Сложение у меня отличное.
Склеродермия	Отгораживание себя от жизни. Не решаетесь быть в её гуще и заботиться о себе.	Теперь я полностью расслаблен, поскольку знаю, что я в полной безопасности. Я верю в жизнь и я верю в себя.
Слабость	Потребность ума в отдыхе.	Я предоставляю своему сознанию весёлый отпуск.
Слабоумие. См. также: «Болезнь Альцгеймера», «Старость»	Нежелание принимать мир таким, каков он есть. Безнадёжность и беспомощность. Гнев.	Я нахожусь на своём месте, и я всегда в полной безопасности.
Слизистая толстой кишки. См. также: «Колит», «Кишечник», «Спастический колит»	Наслоения устаревших путаных мыслей забивают каналы удаления шлаков. Вы топчетесь в вязкой трясине прошлого.	Я предаю прошлое забвению. У меня ясное мышление. Я мирно и радостно живу в настоящем.
Смерть	Символизирует выход из спектакля жизни.	Я с радостью отправляюсь а новую ступень. Всё идет хорошо.
Я с радостью отправляюсь а новую ступень. Всё идут хорошо.	Непроизвольная реакция. Центр интуиции.	Я доверяю моему внутреннему голосу. У меня есть сила, мудрость и воля.
Спазмы	Взвинчивание мыслей, порождённое страхом.	Я отбрасываю, расслабляюсь и отпускаю. У меня в жизни всё благополучно.
Спазмы брюшной полости	Страх. Останавливание процесса.	Я верю в жизненные процессы. Я — в безопасности.
Спастический колит. См. также: «Колит», «Кишечник», «Слизистая толстой кишки»	Боязнь что-то выпустить из рук. Ненадёжность.	Мне не надо бояться жить жизнь всегда обеспечит мне всё, что нужно. Всё идёт хорошо.
СПИД	Чувство беззащитности и безнадёжности. Всем наплевать. Сильная вера в собственную никчемность. Неприязнь к себе. Чувство сексуальной вины.	Я — часть Вселенной. Я её важная часть, меня любит сама Жизнь. Я обладаю силой и способностями. Я люблю и ценю в себе всё.
Спина	Символ опоры жизни.	Я знаю, что жизнь меня всегда поддержит.
Спина: болезни. См. также: «Смещение позвонков (спецраздел)»		
Спина: болезни нижней части	Страх из-за денег. Отсутствие финансовой поддержки.	Я доверяюсь жизненному процессу. Я всегда получаю то, что мне нужно. У меня всё благополучно.
Спина: болезни средней части	Чувство вины. Внимание приковано ко «всему тому», что в прошлом. «Оставьте меня в покое».	Я предаю забвению прошлое. С любовью в сердце я могу свободно идти вперёд.
Спина: болезни верхней части	Отсутствие моральной поддержки. Чувство, что тебя не любят. Сдерживание чувства любви.	Я люблю себя и одобряю. Сеня любит и поддерживает жизнь.
Старость. См. также: «Болезнь Альцгеймера»	Возвращение в так называемую «безопасность детства». Требование заботы и внимания. Это — форма контроля над окружающими. Избегание (эскапизм).	Небесная защита. Безопасность. Мир. Разум Вселенной действует на каждом уровне жизни.
Столбняк. См. также: «Тризм»	Потребность в избавлении от гнева и разлагающих мыслей.	Я позволяю потоку любви выйти из моего сердца и промыть все уголки тела и все мои эмоции.
Стригущий лишай (дерматомикоз)	Позволяете другим плохо действовать вам на нервы. Плохое самочувствие или ощущение в себе недостатка добродетели.	Я люблю и одобряю себя. Никто и ничто не имеет власти надо мной. Я — свободен (свободна).
Ступни	Символ нашего понимания самих себя, жизни, других людей.	У меня ясное понимание, готовность изменяться с приходом нового времени. Ничто мне не грозит.
Ступни: болезни	Страх пред будущим и боязнь, что вы не сделаете в жизни шаг вперёд.	Я легко и радостно шагаю вперёд по жизни.
Судороги	Напряжение. Страх. Стремитесь ухватиться, зацепиться.	Я расслабляюсь и позволяю миру воцаряться в моей душе.
Суставы. См. также: «Артрит», «Локоть», «Колено», «Плечи»	Символизируют смену направлений в жизни и лёгкость этих движений.	Я легко следую за переменами. Моей жизнью руководит Божественное, и я всегда выбираю самое лучшее направление.
Сухость в глазах	Злые глаза. Нежелание смотреть с любовью. Скорее умру, чем прощу. Иногда — проявление злорадства.	Я охотно прощаю. Я наполняю своё видение жизнью и с пониманием смотрю и сострадаю.
Сыпь	Чувство незащищённости, открытость для нападения.	У меня есть сила и надёжная защита. Всё идёт хорошо.
Сыпь. См. также: «Крапивница»	Раздражение по поводу промедлений. Детский способ привлечь к себе внимание.	Я люблю и одобряю себя. Я примиряюсь с жизненным процессом.
Тик, конвульсии	Страх. Ощущение, что другие наблюдают за тобой.	Я принят(а) всей жизнью в целом. Всё идёт хорошо. Я в безопасности.
Тонзилит. См. также: «Ангина»	Страх. Подавленные эмоции. Заглушенное творчество.	Теперь всё хорошее во мне течёт свободно. Я — проводник Божественных мыслей. В моей душе царит мир.
Тошнота	Страх. Отказ от идеи или опыта.	Я — в безопасности. Я деряюсь жизненному процессу, который приносит мне только хорошее.
Травмы. См. также: «Порезы», «Раны»	Гнев, обращённый на себя. Чувство вины.	Я обращаю мой гнев во благо. Я люблю себя и высоко ценю.
Тревога	Неверие в ход жизни и её естественный процесс.	Я одобряю и люблю себя и доверяюсь процессу жизни. Мне ничто не грозит.
Тризм (спазм жевательных мышц). См. также: «Столбняк»	Гнев. Стремление командовать. Отказ выражать свои чувства.	Я доверяюсь жизненному процессу. Мне легко попросить о том, что я хочу. Жизнь на моей стороне.
Туберкулёз	Расточительство из-за эгоистичности. Собственничество. Жестокие мысли. Месть.	Любя и одобряя себя, я создаю спокойный и радостный мир для жизни в нём.
Угри. См. также: «Белые угри»	Слабые вспышки гнева.	Я усмиряю свои мысли, в душе наступает покой.
Угри (прыщи)	Несогласие с собой. Отсутствие любви к себе.	Я — Божественное выражение жизни. Я люблю и принимаю себя в моём нынешнем состоянии.
